fileName,Category,Paths,Class
The Checklist Manifesto,Medical,dataset/Medical/0000031.jpg,same
Do No Harm,Medical,dataset/Medical/0000032.jpg,same
The Anatomy Coloring Book,Medical,dataset/Medical/0000033.jpg,same
The Plant Paradox,Medical,dataset/Medical/0000034.jpg,same
Wreck This Journal Everywhere,Medical,dataset/Medical/0000035.jpg,same
How to Change Your Mind,Medical,dataset/Medical/0000036.jpg,same
Raising an Emotionally Intelligent Child,Medical,dataset/Medical/0000037.jpg,same
Allen Carr's Easy Way to Stop Smoking,Medical,dataset/Medical/0000038.jpg,same
The Mindful Way through Depression,Medical,dataset/Medical/0000039.jpg,same
Call The Midwife,Medical,dataset/Medical/0000040.jpg,same
The Dialectical Behavior Therapy Skills Workbook,Medical,dataset/Medical/0000041.jpg,same
The Reality Slap,Medical,dataset/Medical/0000042.jpg,same
"The Boy Who Was Raised as a Dog, 3rd Edition",Medical,dataset/Medical/0000043.jpg,same
Strength Training Anatomy,Medical,dataset/Medical/0000044.jpg,same
The Brain That Changes Itself,Medical,dataset/Medical/0000045.jpg,same
Lost Ocean,Medical,dataset/Medical/0000046.jpg,same
Mating in Captivity,Medical,dataset/Medical/0000047.jpg,same
This is Going to Hurt,Medical,dataset/Medical/0000048.jpg,same
You Are the Placebo,Medical,dataset/Medical/0000049.jpg,same
Radical Acceptance,Medical,dataset/Medical/0000050.jpg,same
Awakenings,Medical,dataset/Medical/0000051.jpg,same
Unnatural Causes,Medical,dataset/Medical/0000052.jpg,same
Oxford Handbook of Clinical Medicine,Medical,dataset/Medical/0000053.jpg,same
"DBT Skills Training Manual, Second Edition",Medical,dataset/Medical/0000054.jpg,same
All Cats Have Asperger Syndrome,Medical,dataset/Medical/0000055.jpg,same
Becoming Supernatural,Medical,dataset/Medical/0000056.jpg,same
Anatomy Trains,Medical,dataset/Medical/0000057.jpg,same
Hallucinations,Medical,dataset/Medical/0000058.jpg,same
Loving What Is,Medical,dataset/Medical/0000059.jpg,same
An Introductory Guide to Anatomy & Physiology,Medical,dataset/Medical/0000060.jpg,same
The Body Keeps the Score,Medical,dataset/Medical/0000061.jpg,same
The Muscular System Anatomical Chart,Medical,dataset/Medical/0000062.jpg,same
Rewire Your Anxious Brain,Medical,dataset/Medical/0000063.jpg,same
Shadows Of The Workhouse,Medical,dataset/Medical/0000064.jpg,same
Call The Midwife,Medical,dataset/Medical/0000065.jpg,same
The Emperor of All Maladies,Medical,dataset/Medical/0000066.jpg,same
Complications,Medical,dataset/Medical/0000067.jpg,same
Brain Maker,Medical,dataset/Medical/0000068.jpg,same
The Gift of Therapy,Medical,dataset/Medical/0000069.jpg,same
Change Your Thinking,Medical,dataset/Medical/0000070.jpg,same
You Can Heal Your Life,Medical,dataset/Medical/0000071.jpg,same
Gratitude,Medical,dataset/Medical/0000072.jpg,same
"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Medical,dataset/Medical/0000073.jpg,same
Man's Search for Meaning,Medical,dataset/Medical/0000074.jpg,same
Don't Shoot the Dog!,Medical,dataset/Medical/0000075.jpg,same
The Mindful Self-Compassion Workbook,Medical,dataset/Medical/0000076.jpg,same
Self Compassion,Medical,dataset/Medical/0000077.jpg,same
Trail Guide to the Body,Medical,dataset/Medical/0000078.jpg,same
The Man Who Mistook His Wife for a Hat,Medical,dataset/Medical/0000079.jpg,same
Hands Of Light,Medical,dataset/Medical/0000080.jpg,same
The Drama of the Gifted Child,Medical,dataset/Medical/0000081.jpg,same
Taking Charge of Your Fertility,Medical,dataset/Medical/0000082.jpg,same
When Breath Becomes Air,Medical,dataset/Medical/0000083.jpg,same
It Didn't Start with You,Medical,dataset/Medical/0000084.jpg,same
Trauma and Recovery,Medical,dataset/Medical/0000085.jpg,same
Love's Executioner,Medical,dataset/Medical/0000086.jpg,same
The Complete Ketogenic Diet for Beginners,Medical,dataset/Medical/0000087.jpg,same
The Compassionate Mind,Medical,dataset/Medical/0000088.jpg,same
I Had a Black Dog,Medical,dataset/Medical/0000089.jpg,same
The End of Alzheimer's,Medical,dataset/Medical/0000090.jpg,same
The Secret Language of Color Cards,Medical,dataset/Medical/0000091.jpg,same
The China Study: Revised and Expanded Edition,Medical,dataset/Medical/0000092.jpg,same
Immortal Life of Henrietta Lacks,Medical,dataset/Medical/0000093.jpg,same
"Cognitive Behavior Therapy, Second Edition",Medical,dataset/Medical/0000094.jpg,same
Smart but Scattered,Medical,dataset/Medical/0000095.jpg,same
Better,Medical,dataset/Medical/0000096.jpg,same
The Complete Low-Fodmap Diet,Medical,dataset/Medical/0000097.jpg,same
Farewell To The East End,Medical,dataset/Medical/0000098.jpg,same
The Epigenetics Revolution,Medical,dataset/Medical/0000099.jpg,same
Maps of Meaning,Medical,dataset/Medical/0000100.jpg,same
A Mind of Your Own,Medical,dataset/Medical/0000101.jpg,same
The Gene,Medical,dataset/Medical/0000102.jpg,same
"Many Lives, Many Masters",Medical,dataset/Medical/0000103.jpg,same
Musicophilia,Medical,dataset/Medical/0000104.jpg,same
The How Not To Die Cookbook,Medical,dataset/Medical/0000105.jpg,same
"Breaking the vicious cycle, Intestinal health through diet",Medical,dataset/Medical/0000106.jpg,same
Highly Sensitive Child,Medical,dataset/Medical/0000107.jpg,same
The 4 Pillar Plan,Medical,dataset/Medical/0000108.jpg,same
Into the Magic Shop,Medical,dataset/Medical/0000109.jpg,same
Schema Therapy,Medical,dataset/Medical/0000110.jpg,same
The Body Remembers,Medical,dataset/Medical/0000111.jpg,same
The Undiscovered Self,Medical,dataset/Medical/0000112.jpg,same
Desk Reference to the Diagnostic Criteria from DSM-5,Medical,dataset/Medical/0000113.jpg,same
When My Worries Get Too Big!,Medical,dataset/Medical/0000114.jpg,same
"Mind Over Mood, Second Edition",Medical,dataset/Medical/0000115.jpg,same
ACT Made Simple,Medical,dataset/Medical/0000116.jpg,same
Dibs in Search of Self,Medical,dataset/Medical/0000117.jpg,same
We Should All Be Feminists,Medical,dataset/Medical/0000118.jpg,same
The Heal Your Gut Cookbook,Medical,dataset/Medical/0000119.jpg,same
On Becoming a Person,Medical,dataset/Medical/0000120.jpg,same
"Ayurveda, the Science of Self-healing: A Practical Guide",Medical,dataset/Medical/0000121.jpg,same
The Mindful Path to Self-Compassion,Medical,dataset/Medical/0000122.jpg,same
Mindsight,Medical,dataset/Medical/0000123.jpg,same
With the Old Breed,Medical,dataset/Medical/0000124.jpg,same
Get Out of Your Mind and into Your Life,Medical,dataset/Medical/0000125.jpg,same
Sweet Poison,Medical,dataset/Medical/0000126.jpg,same
When the Body Says No,Medical,dataset/Medical/0000127.jpg,same
Listening to the Animals: Becoming The Supervet,Medical,dataset/Medical/0000128.jpg,same
Dmt : the Spririt Molecule,Medical,dataset/Medical/0000129.jpg,same
Art Therapy Sourcebook,Medical,dataset/Medical/0000130.jpg,same
The Skeletal System Anatomical Chart,Medical,dataset/Medical/0000131.jpg,same
Intuitive Eating,Medical,dataset/Medical/0000132.jpg,same
Spiritual Midwifery,Medical,dataset/Medical/0000133.jpg,same
Marshall & Ruedy's On Call: Principles & Protocols,Medical,dataset/Medical/0000134.jpg,same
Anatomy of Movement,Medical,dataset/Medical/0000135.jpg,same
Civilization and Its Discontents,Medical,dataset/Medical/0000136.jpg,same
Get into Medical School - 1250 UKCAT Practice Questions. Includes Full Mock Exam,Medical,dataset/Medical/0000137.jpg,same
The Gift Of Therapy,Medical,dataset/Medical/0000138.jpg,same
Mary Sheridan's From Birth to Five Years: Children's Developmental Progress,Medical,dataset/Medical/0000139.jpg,same
Brain Rules (Updated and Expanded),Medical,dataset/Medical/0000140.jpg,same
Food Rules,Medical,dataset/Medical/0000141.jpg,same
Nutrient Power,Medical,dataset/Medical/0000142.jpg,same
Wheat Belly,Medical,dataset/Medical/0000143.jpg,same
"Motivational Interviewing, Third Edition",Medical,dataset/Medical/0000144.jpg,same
An Anthropologist on Mars,Medical,dataset/Medical/0000145.jpg,same
Girls Only! All About Periods and Growing-Up Stuff,Medical,dataset/Medical/0000146.jpg,same
How to Eat Better,Medical,dataset/Medical/0000147.jpg,same
Hashimoto's Protocol,Medical,dataset/Medical/0000148.jpg,same
Talley and O'Connor's Clinical Examination - 2-Volume Set,Medical,dataset/Medical/0000149.jpg,same
The Wahls Protocol,Medical,dataset/Medical/0000150.jpg,same
The How Not To Die Cookbook,Medical,dataset/Medical/0000151.jpg,same
Pilates Anatomy,Medical,dataset/Medical/0000152.jpg,same
Quiet the Mind,Medical,dataset/Medical/0000153.jpg,same
"Your Body, Your Yoga",Medical,dataset/Medical/0000154.jpg,same
"Medical Interviews - a Comprehensive Guide to Ct, St and Registrar Interview Skills",Medical,dataset/Medical/0000155.jpg,same
Radical Remission,Medical,dataset/Medical/0000156.jpg,same
The Immortal Life of Henrietta Lacks,Medical,dataset/Medical/0000157.jpg,same
The Crystal Bible Volume 2,Medical,dataset/Medical/0000158.jpg,same
Start Where You Are,Medical,dataset/Medical/0000159.jpg,same
Birth Skills,Medical,dataset/Medical/0000160.jpg,same
The Clever Guts Diet,Medical,dataset/Medical/0000161.jpg,same
Dirty Genes,Medical,dataset/Medical/0000162.jpg,same
Adult Children of Emotionally Immature Parents,Medical,dataset/Medical/0000163.jpg,same
Genius Foods,Medical,dataset/Medical/0000164.jpg,same
"Theory and Practice of Group Psychotherapy, Fifth Edition",Medical,dataset/Medical/0000165.jpg,same
"Good Calories, Bad Calories",Medical,dataset/Medical/0000166.jpg,same
Havard's Nursing Guide to Drugs,Medical,dataset/Medical/0000167.jpg,same
Hypnobirthing,Medical,dataset/Medical/0000168.jpg,same
The Continuum Concept,Medical,dataset/Medical/0000169.jpg,same
BSAVA Textbook of Veterinary Nursing,Medical,dataset/Medical/0000170.jpg,same
Trigger Point Therapy Workbook,Medical,dataset/Medical/0000171.jpg,same
Your Body's Many Cries for Water,Medical,dataset/Medical/0000172.jpg,same
The Autoimmune Solution,Medical,dataset/Medical/0000173.jpg,same
Healing the Fragmented Selves of Trauma Survivors,Medical,dataset/Medical/0000174.jpg,same
Being Mortal,Medical,dataset/Medical/0000175.jpg,same
Creative Ways to Help Children Manage BIG Feelings,Medical,dataset/Medical/0000176.jpg,same
Mycelium Running,Medical,dataset/Medical/0000177.jpg,same
The Beauty Detox Solution,Medical,dataset/Medical/0000178.jpg,same
Eat to Beat Disease,Medical,dataset/Medical/0000179.jpg,same
Nutrition and Physical Degeneration,Medical,dataset/Medical/0000180.jpg,same
Sensorimotor Psychotherapy,Medical,dataset/Medical/0000181.jpg,same
Johanna's Christmas,Medical,dataset/Medical/0000182.jpg,same
Mindsight,Medical,dataset/Medical/0000183.jpg,same
Put Your Heart in Your Mouth,Medical,dataset/Medical/0000184.jpg,same
The Eye Of The World,Medical,dataset/Medical/0000185.jpg,same
Ayurveda,Medical,dataset/Medical/0000186.jpg,same
8 Keys to Safe Trauma Recovery,Medical,dataset/Medical/0000187.jpg,same
The Sweet Poison Quit Plan,Medical,dataset/Medical/0000188.jpg,same
Oxford Handbook of Anaesthesia,Medical,dataset/Medical/0000189.jpg,same
The Shallows,Medical,dataset/Medical/0000190.jpg,same
Body Positive Power,Medical,dataset/Medical/0000191.jpg,same
Owning it: Your Bullsh*t-Free Guide to Living with Anxiety,Medical,dataset/Medical/0000192.jpg,same
Change Your Thinking with CBT,Medical,dataset/Medical/0000193.jpg,same
Metaphysical Anatomy,Medical,dataset/Medical/0000194.jpg,same
The Human Brain Coloring Book,Medical,dataset/Medical/0000195.jpg,same
The Telomere Effect,Medical,dataset/Medical/0000196.jpg,same
West's Respiratory Physiology,Medical,dataset/Medical/0000197.jpg,same
When Breath Becomes Air,Medical,dataset/Medical/0000198.jpg,same
The Autoimmune Solution,Medical,dataset/Medical/0000199.jpg,same
The Body Keeps the Score,Medical,dataset/Medical/0000200.jpg,same
Living with a Black Dog,Medical,dataset/Medical/0000201.jpg,same
Owning Your Own Shadow,Medical,dataset/Medical/0000202.jpg,same
Wreck This Journal (Paper Bag),Medical,dataset/Medical/0000203.jpg,same
Dr Bernstein's Diabetes Solution,Medical,dataset/Medical/0000204.jpg,same
Robbins & Cotran Pathologic Basis of Disease,Medical,dataset/Medical/0000205.jpg,same
Accessing the Healing Power of the Vagus Nerve,Medical,dataset/Medical/0000206.jpg,same
How to Starve Cancer,Medical,dataset/Medical/0000207.jpg,same
The Handbook of Child and Adolescent Clinical Psychology,Medical,dataset/Medical/0000208.jpg,same
The Mindful Way Workbook,Medical,dataset/Medical/0000209.jpg,same
Mindfulness for Health,Medical,dataset/Medical/0000210.jpg,same
The Female Brain,Medical,dataset/Medical/0000211.jpg,same
Health Through God's Pharmacy,Medical,dataset/Medical/0000212.jpg,same
Confessions of a Sociopath,Medical,dataset/Medical/0000213.jpg,same
Potter & Perry's Fundamentals of Nursing - Australian Version - 5th Edition. Print Book & E-Book,Medical,dataset/Medical/0000214.jpg,same
Healing Back Pain (Reissue Edition),Medical,dataset/Medical/0000215.jpg,same
"Overcoming Binge Eating, Second Edition",Medical,dataset/Medical/0000216.jpg,same
Magical Jungle,Medical,dataset/Medical/0000217.jpg,same
Without Conscience,Medical,dataset/Medical/0000218.jpg,same
"Women's Bodies, Women's Wisdom",Medical,dataset/Medical/0000219.jpg,same
The Happiness Trap Pocketbook,Medical,dataset/Medical/0000220.jpg,same
Descartes' Error,Medical,dataset/Medical/0000221.jpg,same
Free to Learn,Medical,dataset/Medical/0000222.jpg,same
"Disarming the Narcissist, Second Edition",Medical,dataset/Medical/0000223.jpg,same
Maybe You Should Talk to Someone,Medical,dataset/Medical/0000224.jpg,same
"Overcoming Anxiety, 2nd Edition",Medical,dataset/Medical/0000225.jpg,same
The Unexpected Joy of Being Sober,Medical,dataset/Medical/0000226.jpg,same
Overcoming Multiple Sclerosis Cookbook,Medical,dataset/Medical/0000227.jpg,same
The Polyvagal Theory in Therapy,Medical,dataset/Medical/0000228.jpg,same
The Psychobiotic Revolution,Medical,dataset/Medical/0000229.jpg,same
Just Eat It,Medical,dataset/Medical/0000230.jpg,same
The Dance of Anger,Medical,dataset/Medical/0000231.jpg,same
The Physiology Coloring Book,Medical,dataset/Medical/0000232.jpg,same
Period Repair Manual,Medical,dataset/Medical/0000233.jpg,same
Grief Counselling and Grief Therapy,Medical,dataset/Medical/0000234.jpg,same
The Original Reiki Handbook of Dr. Mikao Usui,Medical,dataset/Medical/0000235.jpg,same
The Sick Rose,Medical,dataset/Medical/0000236.jpg,same
The Sports Gene,Medical,dataset/Medical/0000237.jpg,same
The Web That Has No Weaver,Medical,dataset/Medical/0000238.jpg,same
Breaking Negative Thinking Patterns,Medical,dataset/Medical/0000239.jpg,same
The Feeling Good Handbook,Medical,dataset/Medical/0000240.jpg,same
NeuroTribes,Medical,dataset/Medical/0000241.jpg,same
Listening to the Animals: Becoming The Supervet,Medical,dataset/Medical/0000242.jpg,same
"The Anxiety and Phobia Workbook, 6th Edition",Medical,dataset/Medical/0000243.jpg,same
Maps of Narrative Practice,Medical,dataset/Medical/0000244.jpg,same
Ivy and the Inky Butterfly,Medical,dataset/Medical/0000245.jpg,same
Stiff,Medical,dataset/Medical/0000246.jpg,same
The Mindful Therapist,Medical,dataset/Medical/0000247.jpg,same
Healing Stories for Challenging Behaviour,Medical,dataset/Medical/0000248.jpg,same
Clean,Medical,dataset/Medical/0000249.jpg,same
Cognitive Behavioural Therapy For Dummies,Medical,dataset/Medical/0000250.jpg,same
The Diabetes Code,Medical,dataset/Medical/0000251.jpg,same
It Starts with the Egg,Medical,dataset/Medical/0000252.jpg,same
The Skincare Bible,Medical,dataset/Medical/0000253.jpg,same
"Psychoanalytic Diagnosis, Second Edition",Medical,dataset/Medical/0000254.jpg,same
"I'm Ok, You're Ok",Medical,dataset/Medical/0000255.jpg,same
Pain and Prejudice,Medical,dataset/Medical/0000256.jpg,same
The Wisdom of Menopause,Medical,dataset/Medical/0000257.jpg,same
The Emperor of All Maladies,Medical,dataset/Medical/0000258.jpg,same
Period Power,Medical,dataset/Medical/0000259.jpg,same
French Women Don't Get Fat,Medical,dataset/Medical/0000260.jpg,same
The Pioppi Diet,Medical,dataset/Medical/0000261.jpg,same
Carbs & Cals Carb & Calorie Counter,Medical,dataset/Medical/0000262.jpg,same
The Language of Kindness,Medical,dataset/Medical/0000263.jpg,same
Seeing Voices,Medical,dataset/Medical/0000264.jpg,same
Exploring Feelings,Medical,dataset/Medical/0000265.jpg,same
The Stress Solution,Medical,dataset/Medical/0000266.jpg,same
The Healing Code,Medical,dataset/Medical/0000267.jpg,same
In Defense of Food,Medical,dataset/Medical/0000268.jpg,same
Bad Pharma,Medical,dataset/Medical/0000269.jpg,same
"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",Medical,dataset/Medical/0000270.jpg,same
The Vaccine-Friendly Plan,Medical,dataset/Medical/0000271.jpg,same
Bartram's Encyclopedia of Herbal Medicine,Medical,dataset/Medical/0000272.jpg,same
Stop the Thyroid Madness,Medical,dataset/Medical/0000273.jpg,same
The Postnatal Depletion Cure,Medical,dataset/Medical/0000274.jpg,same
Essential Reiki,Medical,dataset/Medical/0000275.jpg,same
Existential Psychotherapy,Medical,dataset/Medical/0000276.jpg,same
An Introduction to Cognitive Behaviour Therapy,Medical,dataset/Medical/0000277.jpg,same
Secret of Childhood,Medical,dataset/Medical/0000278.jpg,same
The Doctor's Kitchen: Supercharge your health with 100 delicious everyday recipes,Medical,dataset/Medical/0000279.jpg,same
The Thriving Adolescent,Medical,dataset/Medical/0000280.jpg,same
What to Do When Bad Habits Take Hold,Medical,dataset/Medical/0000281.jpg,same
Birthing from within,Medical,dataset/Medical/0000282.jpg,same
Miracle Ball Method,Medical,dataset/Medical/0000283.jpg,same
Wreck This Journal (Red),Medical,dataset/Medical/0000284.jpg,same
"Essentials of Human Anatomy & Physiology, Global Edition",Medical,dataset/Medical/0000285.jpg,same
With the End in Mind,Medical,dataset/Medical/0000286.jpg,same
Balanced and Barefoot,Medical,dataset/Medical/0000287.jpg,same
Dissolving Illusions,Medical,dataset/Medical/0000288.jpg,same
Lewis's Medical-Surgical Nursing,Medical,dataset/Medical/0000289.jpg,same
Gut,Medical,dataset/Medical/0000290.jpg,same
The Longevity Paradox,Medical,dataset/Medical/0000291.jpg,same
The Eczema Diet,Medical,dataset/Medical/0000292.jpg,same
Healing Developmental Trauma,Medical,dataset/Medical/0000293.jpg,same
Contented Dementia,Medical,dataset/Medical/0000294.jpg,same
DBT (R) Skills Manual for Adolescents,Medical,dataset/Medical/0000295.jpg,same
Starving the Anxiety Gremlin for Children Aged 5-9,Medical,dataset/Medical/0000296.jpg,same
The Mind-Gut Connection,Medical,dataset/Medical/0000297.jpg,same
Allen Carr's Easy Way for Women to Stop Smoking,Medical,dataset/Medical/0000298.jpg,same
Dibs in Search of Self,Medical,dataset/Medical/0000299.jpg,same
Discovery of the Child,Medical,dataset/Medical/0000300.jpg,same
"Clinical Handbook of Psychological Disorders, Fifth Edition",Medical,dataset/Medical/0000301.jpg,same
Why Love Matters,Medical,dataset/Medical/0000302.jpg,same
All That Remains,Medical,dataset/Medical/0000303.jpg,same
The Omnivore's Dilemma,Medical,dataset/Medical/0000304.jpg,same
The Low-Fodmap Diet Cookbook,Medical,dataset/Medical/0000305.jpg,same
In Defence of Food,Medical,dataset/Medical/0000306.jpg,same
Beyond the Pill,Medical,dataset/Medical/0000307.jpg,same
Gray's Anatomy for Students,Medical,dataset/Medical/0000308.jpg,same
"Treatment Plans and Interventions for Depression and Anxiety Disorders, 2e",Medical,dataset/Medical/0000309.jpg,same
"Essential Examination, third edition",Medical,dataset/Medical/0000310.jpg,same
Mess,Medical,dataset/Medical/0000311.jpg,same
How to Be a Superhero Called Self-Control!,Medical,dataset/Medical/0000312.jpg,same
Clinical Cases for General Practice Exams,Medical,dataset/Medical/0000313.jpg,same
The FastDiet Cookbook,Medical,dataset/Medical/0000314.jpg,same
All Creatures Great and Small,Medical,dataset/Medical/0000315.jpg,same
The Wise Heart,Medical,dataset/Medical/0000316.jpg,same
An Early Start for Your Child with Autism,Medical,dataset/Medical/0000317.jpg,same
The Polyvagal Theory,Medical,dataset/Medical/0000318.jpg,same
Trauma And Memory,Medical,dataset/Medical/0000319.jpg,same
Neurological Rehabilitation,Medical,dataset/Medical/0000320.jpg,same
Eat Right for Your Type Comple,Medical,dataset/Medical/0000321.jpg,same
Neurocomic,Medical,dataset/Medical/0000322.jpg,same
The Spark in the Machine,Medical,dataset/Medical/0000323.jpg,same
The Maudsley Prescribing Guidelines in Psychiatry,Medical,dataset/Medical/0000324.jpg,same
The New Optimum Nutrition Bible,Medical,dataset/Medical/0000325.jpg,same
Momma And The Meaning Of Life,Medical,dataset/Medical/0000326.jpg,same
Body by Science,Medical,dataset/Medical/0000327.jpg,same
The Intuitive Eating Workbook,Medical,dataset/Medical/0000328.jpg,same
Trim Healthy Mama,Medical,dataset/Medical/0000329.jpg,same
The Butchering Art,Medical,dataset/Medical/0000330.jpg,same
The Pocket Guide to The Polyvagal Theory,Medical,dataset/Medical/0000331.jpg,same
The Happiness Hypothesis,Medical,dataset/Medical/0000332.jpg,same
How to Be Human,Medical,dataset/Medical/0000333.jpg,same
Womancode,Medical,dataset/Medical/0000334.jpg,same
What Doesn't Kill Us,Medical,dataset/Medical/0000335.jpg,same
Starving the Anxiety Gremlin,Medical,dataset/Medical/0000336.jpg,same
Smart but Scattered Teens,Medical,dataset/Medical/0000337.jpg,same
Twas The Nightshift Before Christmas,Medical,dataset/Medical/0000338.jpg,same
Becoming Myself,Medical,dataset/Medical/0000339.jpg,same
True Refuge,Medical,dataset/Medical/0000340.jpg,same
A Brief History of Medicine,Medical,dataset/Medical/0000341.jpg,same
The Mind's Eye,Medical,dataset/Medical/0000342.jpg,same
Introduction to Veterinary Anatomy and Physiology Textbook,Medical,dataset/Medical/0000343.jpg,same
"The Autism Discussion Page on anxiety, behavior, school, and parenting strategies",Medical,dataset/Medical/0000344.jpg,same
Unthinkable,Medical,dataset/Medical/0000345.jpg,same
Trauma and the Body,Medical,dataset/Medical/0000346.jpg,same
Brain On Fire: My Month of Madness,Medical,dataset/Medical/0000347.jpg,same
Overcoming Depression 3rd Edition,Medical,dataset/Medical/0000348.jpg,same
The How Not to Die Cookbook,Medical,dataset/Medical/0000349.jpg,same
Becoming Attached,Medical,dataset/Medical/0000350.jpg,same
"Ganong's Review of Medical Physiology, Twenty-Fifth Edition",Medical,dataset/Medical/0000351.jpg,same
A Therapeutic Treasure Box for Working with Children and Adolescents with Developmental Trauma,Medical,dataset/Medical/0000352.jpg,same
The Alphabet of the Human Heart,Medical,dataset/Medical/0000353.jpg,same
Overcoming Trauma Through Yoga,Medical,dataset/Medical/0000354.jpg,same
Windows to Our Children,Medical,dataset/Medical/0000355.jpg,same
Social Work Practice in Mental Health,Medical,dataset/Medical/0000356.jpg,same
Understanding Pathophysiology Anz 3e,Medical,dataset/Medical/0000357.jpg,same
The Upward Spiral,Medical,dataset/Medical/0000358.jpg,same
The Worry Trick,Medical,dataset/Medical/0000359.jpg,same
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Medical,dataset/Medical/0000360.jpg,same
Yoga Therapy,Medical,dataset/Medical/0000361.jpg,same
My Voice Will Go with You,Medical,dataset/Medical/0000362.jpg,same
Why Isn't My Brain Working?,Medical,dataset/Medical/0000363.jpg,same
It Hurts When I Poop!,Medical,dataset/Medical/0000364.jpg,same
Miller's Review of Critical Vaccine Studies,Medical,dataset/Medical/0000365.jpg,same
Active Birth,Medical,dataset/Medical/0000366.jpg,same
The Reconnection,Medical,dataset/Medical/0000367.jpg,same
Self-Esteem Workbook for Teens,Medical,dataset/Medical/0000368.jpg,same
The Aware Baby,Medical,dataset/Medical/0000369.jpg,same
Play Therapy,Medical,dataset/Medical/0000370.jpg,same
The Longevity Diet,Medical,dataset/Medical/0000371.jpg,same
An Introduction to the Lightning Process (R),Medical,dataset/Medical/0000372.jpg,same
Baby-Led Weaning,Medical,dataset/Medical/0000373.jpg,same
The Brain That Changes Itself,Medical,dataset/Medical/0000374.jpg,same
Guyton and Hall Textbook of Medical Physiology,Medical,dataset/Medical/0000375.jpg,same
Stahl's Essential Psychopharmacology,Medical,dataset/Medical/0000376.jpg,same
Love's Executioner,Medical,dataset/Medical/0000377.jpg,same
Concise Rules of APA Style,Medical,dataset/Medical/0000378.jpg,same
Veterinary Anatomy Coloring Book,Medical,dataset/Medical/0000379.jpg,same
Anatomy Of An Epidemic,Medical,dataset/Medical/0000380.jpg,same
Human Anatomy,Medical,dataset/Medical/0000381.jpg,same
The Story of the Human Body,Medical,dataset/Medical/0000382.jpg,same
Ketotarian,Medical,dataset/Medical/0000383.jpg,same
Neuroanatomy through Clinical Cases,Medical,dataset/Medical/0000384.jpg,same
Into the Magic Shop,Medical,dataset/Medical/0000385.jpg,same
"Taking Charge of ADHD, Third Edition",Medical,dataset/Medical/0000386.jpg,same
How Doctors Think,Medical,dataset/Medical/0000387.jpg,same
Pregnancy For Men (Revised Edition),Medical,dataset/Medical/0000388.jpg,same
Nursing Calculations,Medical,dataset/Medical/0000389.jpg,same
Loving Someone with Borderline Personality Disorder,Medical,dataset/Medical/0000390.jpg,same
"Herbal Antibiotics, 2nd Edition",Medical,dataset/Medical/0000391.jpg,same
Undo It!,Medical,dataset/Medical/0000392.jpg,same
Last's Anatomy,Medical,dataset/Medical/0000393.jpg,same
Exploring Feelings,Medical,dataset/Medical/0000394.jpg,same
Between Heaven and Earth,Medical,dataset/Medical/0000395.jpg,same
It's All in Your Head,Medical,dataset/Medical/0000396.jpg,same
Anti-Oedipus,Medical,dataset/Medical/0000397.jpg,same
